"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"184"	"ENSG00000102445"	8401	"KIAA0226L"	"13"	0.821	0.958	2.05425063607028	2.3231954026605	1.6821669569385
"185"	"ENSG00000120332"	8421	"TNN"	"1"	0.903	0.983	2.21714054985948	1.588981241977	0.740823726088
"186"	"ENSG00000135845"	8483	"PIGC"	"1"	0.908	0.991	1.56991906087861	4.080766277162	3.1020891050355
"187"	"ENSG00000032389"	8596	"TSSC1"	"2"	0.648	0.912	1.32507793576921	9.708146909821	8.3332932638775
"188"	"ENSG00000125818"	8762	"PSMF1"	"20"	0.877	0.976	2.36060574447108	9.773310089462	11.9433518272355
"189"	"ENSG00000126259"	8770	"KIRREL2"	"19"	0.705	0.92	1.51537836112524	0.975654130236	1.476052597745
"190"	"ENSG00000133460"	8808	"SLC2A11"	"22"	0.883	0.985	1.3680782374371	6.565024661994	9.26040311135
"191"	"ENSG00000139531"	8817	"SUOX"	"12"	0.888	0.974	2.37222807056464	4.5067155876335	5.7908970645655
"192"	"ENSG00000204752"	8990	"TRIM27"	"6"	0.771	0.953	1.43990767886399	2.281259898296	2.9553008247745
"193"	"ENSG00000046653"	9003	"GPM6B"	"X"	0.671	0.912	1.42356520489469	21.803003690202	26.5982034850245
"194"	"ENSG00000066923"	9008	"STAG3"	"7"	0.839	0.974	1.43660610044881	4.423690783475	6.620940615161
"195"	"ENSG00000074410"	9020	"CA12"	"15"	0.796	0.949	2.37103658630288	1.596142218525	1.1271703238925
"196"	"ENSG00000103510"	9039	"KAT8"	"16"	0.786	0.925	0.524339714499723	7.705852112339	8.715149075061
"197"	"ENSG00000128463"	9073	"EMC4"	"15"	0.773	0.955	1.341419001553	10.8978352973385	12.915781358854
"198"	"ENSG00000128482"	9074	"RNF112"	"17"	0.758	0.949	1.51927882678772	7.2841759993795	5.2782169088275
"199"	"ENSG00000131477"	9091	"RAMP2"	"17"	0.681	0.914	1.43044475857607	7.5925302584265	5.612556730229
"200"	"ENSG00000138162"	9134	"TACC2"	"10"	0.906	0.989	1.59230684574788	5.411349749626	3.5297264538885
"201"	"ENSG00000139679"	9144	"LPAR6"	"13"	0.972	0.993	3.02397237290552	2.0681410385575	0.432555774428
"202"	"ENSG00000184302"	9354	"SIX6"	"14"	0.506	0.998	0.938011309155885	107.785223238766	0.0727349384035
"203"	"ENSG00000007520"	9406	"TSR3"	"16"	0.81	0.97	1.46690080608477	10.493312247808	12.9792314527815
"204"	"ENSG00000063854"	9426	"HAGH"	"16"	0.839	0.952	2.05103279112044	15.2708725100765	10.8665361511495
"205"	"ENSG00000100628"	9476	"ASB2"	"14"	0.673	0.91	1.33081557045358	5.166693408162	3.4950197149085
"206"	"ENSG00000102901"	9505	"CENPT"	"16"	0.851	0.98	1.17687300448823	4.48204673519	6.716135254009
"207"	"ENSG00000103037"	9527	"SETD6"	"16"	0.002	0.922	0.0185141866755686	4.5920481596395	3.4580940093945
"208"	"ENSG00000103197"	9552	"TSC2"	"16"	0.647	0.91	1.36485914913224	9.6020380605235	7.7737245686405
"209"	"ENSG00000135472"	9632	"FAIM2"	"12"	0.675	0.917	1.33026555357097	31.3971997187935	27.380374515576
"210"	"ENSG00000140506"	9667	"LMAN1L"	"15"	0.865	0.965	1.92128418975276	1.2426573710815	2.27128625601
"211"	"ENSG00000160991"	9738	"ORAI2"	"7"	0.685	0.915	1.43911570982038	4.821030895541	3.7382623141465
"212"	"ENSG00000161010"	9742	"C5orf45"	"5"	0.96	0.995	2.19325960997772	8.7583869316655	14.96426679228
"213"	"ENSG00000161013"	9744	"MGAT4B"	"5"	0.691	0.918	1.1440092254114	8.9152962319255	7.584850322571
"214"	"ENSG00000166171"	9762	"DPCD"	"10"	0.621	0.901	1.42174602830461	8.6346887599415	7.1387244116065
"215"	"ENSG00000166435"	9777	"XRRA1"	"11"	0.931	0.994	2.93020364771076	2.492219525579	3.248696219809
"216"	"ENSG00000167578"	9804	"RAB4B"	"19"	0.681	0.917	1.07217662666145	11.0130257795255	14.177722792361
"217"	"ENSG00000168589"	9819	"DYNLRB2"	"16"	0.769	0.919	2.61758608998705	2.268751696765	1.532171471948
"218"	"ENSG00000173540"	9841	"GMPPB"	"3"	0.7	0.92	1.35603330248549	5.536035585325	6.742872848919
"219"	"ENSG00000187531"	9914	"SIRT7"	"17"	0.707	0.923	1.35732090119279	6.0813062014075	4.6475140512965
"220"	"ENSG00000204176"	9933	"SYT15"	"10"	0.642	0.908	1.29366893980901	2.8269947473335	4.043690447022
"221"	"ENSG00000108187"	10067	"PBLD"	"10"	0.761	0.941	1.91447205805228	3.4857445200375	2.5252359121225
